IBD_percent,fraction_IBD.iida,fraction_IBD.iidb
4.338188363,PU9,Sample5026421
4.335938528,PU16,PU4
4.334952061,Sample5024054,Sample5026910
4.334564397,Sample5025076,Sample5025257
4.3282164,PU4,Sample5024833
4.324163234,Sample5025643,Sample5026054
4.317683708,Sample5025076,Sample5026712
4.316223045,PU4,Sample5024171
4.316164203,PU4,Sample5026441
4.314983905,Sample5024011,Sample5025125
4.314187809,Sample5024056,Sample5024981
4.313931674,PU16,Sample5024833
4.306953723,Sample5025257,Sample5026578
4.300989928,PU12,Sample5024833
4.29849088,Sample5025942,Sample5025954
4.295714929,Sample5025953,Sample5026910
4.295569555,PU4,Sample5026910
4.295510713,Sample5024376,Sample5026910
4.295455332,Sample5026134,Sample5026878
4.295455332,Sample5026584,Sample5026910
4.291208335,Sample5024376,Sample5026584
4.289955349,Sample5024549,Sample5024818
4.288536222,Sample5026735,Sample5026910
4.288532761,Sample5024376,Sample5025953
4.287034024,PU13,Sample5026578
4.285320688,PU16,Sample5024376
4.281793638,Sample5026031,Sample5026814
4.2791596,Sample5024376,Sample5026884
4.27749126,Sample5024549,Sample5025958
4.274884912,PU15,Sample5024008
4.271226333,Sample5024006,Sample5024171
4.271226333,Sample5024171,Sample5026578
4.270426777,Sample5024096,Sample5025684
4.269474923,Sample5024442,Sample5026433
4.268260012,Sample5025954,Sample5026735
4.262867329,Sample5024591,Sample5026712
4.260572497,Sample5024264,Sample5024476
4.253919906,Sample5024376,Sample5024833
4.251701222,PU12,Sample5025261
4.250642068,PU16,Sample5025261
4.25045862,PU12,Sample5024006
4.25045862,Sample5024006,Sample5026578
4.243359524,Sample5024819,Sample5025973
4.229690907,PU12,Sample5026584
4.22889135,Sample5025643,Sample5026240
4.226745353,PU12,PU14
4.225648126,PU9,Sample5024009
4.225374684,Sample5024475,Sample5026032
4.222865252,Sample5024485,Sample5025782
4.222723339,Sample5024096,Sample5026134
4.219307051,Sample5024535,Sample5026735
4.219307051,Sample5025065,Sample5026910
